fips code,county,sector,scc,pollutant desc,total emissions,emissions uom
36061,New York,Fuel Comb - Residential - Wood,2104008615,Manganese,0.0,LB
36061,New York,Fuel Comb - Residential - Wood,2104008615,Sulfate Portion of PM2.5-PRI,0.0,TON
36005,Bronx,Fuel Comb - Residential - Wood,2104008500,Ethyl Benzene,0.0,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Phenol,1302.046,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Propionaldehyde,632.422,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,"Benzo[g,h,i,]Perylene",0.572286,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Lead,0.5031618,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Phenanthrene,38.9374,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Naphthalene,562.98,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Acetophenone,9.67234,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Elemental Carbon portion of PM2.5-PRI,0.5085,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,PM Condensible,0.4283066,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104008021,Sulfate Portion of PM2.5-PRI,0.0373629,TON
36081,Queens,Fuel Comb - Residential - Other,2104002000,Ethylene Dibromide,0.0,LB
36081,Queens,Fuel Comb - Residential - Other,2104002000,Naphthalene,0.0,LB
36081,Queens,Fuel Comb - Residential - Other,2104002000,Remaining PMFINE portion of PM2.5-PRI,0.0,TON
36061,New York,Fuel Comb - Residential - Wood,2104008100,Ethyl Benzene,1.116542e-08,LB
36061,New York,Fuel Comb - Residential - Wood,2104008100,"1,3-Butadiene",5.7046e-08,LB
36061,New York,Fuel Comb - Residential - Wood,2104008100,Phenol,2.55976e-07,LB
36061,New York,Fuel Comb - Residential - Wood,2104008100,Cresol/Cresylic Acid (Mixed Isomers),2.28964e-07,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008615,Sulfate Portion of PM2.5-PRI,1.629e-14,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104008615,"1,3-Butadiene",2.5485e-10,LB
36005,Bronx,Fuel Comb - Residential - Wood,2104008530,PM10 Filterable,0.0,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104008700,Remaining PMFINE portion of PM2.5-PRI,2.0282e-09,TON
36085,Richmond,Fuel Comb - Residential - Natural Gas,2104006000,PM Condensible,2.111215,TON
36085,Richmond,Fuel Comb - Residential - Natural Gas,2104006000,Remaining PMFINE portion of PM2.5-PRI,0.803224,TON
36081,Queens,Fuel Comb - Residential - Wood,2104008500,Elemental Carbon portion of PM2.5-PRI,0.0,TON
36081,Queens,Fuel Comb - Residential - Wood,2104008500,PM2.5 Filterable,0.0,TON
36081,Queens,Fuel Comb - Residential - Wood,2104008630,Sulfate Portion of PM2.5-PRI,0.0,TON
36085,Richmond,Fuel Comb - Residential - Other,2104007000,Fluoranthene,0.000849656,LB
36061,New York,Fuel Comb - Residential - Oil,2104004000,Chromium III,23.03596,LB
36061,New York,Fuel Comb - Residential - Oil,2104004000,Arsenic,37.41678,LB
36061,New York,Fuel Comb - Residential - Oil,2104004000,Acetaldehyde,327.564,LB
36061,New York,Fuel Comb - Residential - Oil,2104004000,Fluorene,0.297604,LB
36061,New York,Fuel Comb - Residential - Oil,2104004000,PM10 Primary (Filt + Cond),79.22771,TON
36061,New York,Fuel Comb - Residential - Oil,2104004000,Volatile Organic Compounds,23.73502,TON
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,Lead,0.19871802,LB
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,Phenanthrene,0.001663776,LB
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,Naphthalene,0.1792358,LB
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,Organic Carbon portion of PM2.5-PRI,0.0295238,TON
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,PM10 Primary (Filt + Cond),0.187808,TON
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,PM2.5 Primary (Filt + Cond),0.168131,TON
36085,Richmond,Fuel Comb - Residential - Oil,2104011000,Remaining PMFINE portion of PM2.5-PRI,0.00825237,TON
36047,Kings,Fuel Comb - Residential - Other,2104007000,Sulfur Dioxide,0.5642321,TON
36081,Queens,Fuel Comb - Residential - Wood,2104008011,m-Xylene,57.7402,LB
36047,Kings,Fuel Comb - Residential - Other,2104007000,Elemental Carbon portion of PM2.5-PRI,0.0270477,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104009000,Naphthalene,40.5076,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104009000,Elemental Carbon portion of PM2.5-PRI,0.328993,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104009000,Nitrate portion of PM2.5-PRI,0.0112023,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104009000,PM Condensible,0.0,TON
36085,Richmond,Fuel Comb - Residential - Wood,2104009000,PM10 Primary (Filt + Cond),6.086929,TON
36081,Queens,Fuel Comb - Residential - Oil,2104004000,"Dibenzo(a,h)Anthracene",0.083401,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008614,Toluene,8.92162e-10,LB
36085,Richmond,Fuel Comb - Residential - Wood,2104008614,Pyrene,1.055914e-11,LB
