State,County,year,congestion_events,avg_severity,avg_delay_typical,avg_delay_freeflow,slow_events,moderate_events,fast_events,slow_event_percentage
AL,Autauga,2017,29,1.31,3.33,4.01,6,9,14,20.69
AL,Autauga,2018,74,1.42,3.28,3.5,14,19,41,18.92
AL,Autauga,2019,62,1.29,2.74,2.76,16,12,34,25.81
AL,Autauga,2020,15,0.93,2.87,2.87,1,8,6,6.67
AL,Autauga,2021,29,1.38,3.03,3.03,1,10,18,3.45
AL,Autauga,2022,14,1.5,5.5,5.5,0,6,8,0.0
AL,Baldwin,2017,147,1.23,2.53,2.81,13,32,102,8.84
AL,Baldwin,2018,588,1.15,2.2,2.56,23,133,432,3.91
AL,Baldwin,2019,370,1.31,3.12,3.34,122,91,157,32.97
AL,Baldwin,2020,182,0.81,4.41,4.72,18,90,74,9.89
AL,Baldwin,2021,279,1.02,4.0,4.27,26,87,166,9.32
AL,Baldwin,2022,143,1.26,4.43,4.74,7,35,101,4.9
AL,Barbour,2016,13,1.62,3.66,3.78,1,9,3,7.69
AL,Barbour,2017,20,1.55,3.95,4.02,3,10,7,15.0
AL,Barbour,2018,24,1.38,4.05,4.08,5,13,6,20.83
AL,Barbour,2019,14,1.43,4.83,4.92,5,5,4,35.71
AL,Barbour,2020,10,1.0,5.6,5.8,2,1,7,20.0
AL,Barbour,2021,9,1.44,6.44,6.78,1,3,5,11.11
AL,Barbour,2022,6,1.0,5.83,6.0,1,3,2,16.67
AL,Bibb,2017,7,1.43,1.47,1.89,6,0,1,85.71
AL,Bibb,2018,24,1.88,2.94,3.25,6,6,12,25.0
AL,Bibb,2019,8,1.12,4.49,4.62,2,3,3,25.0
AL,Bibb,2020,9,1.56,12.0,12.11,3,2,4,33.33
AL,Bibb,2021,3,1.0,2.33,2.67,2,0,1,66.67
AL,Blount,2017,22,1.73,3.55,3.61,3,11,8,13.64
AL,Blount,2018,28,1.18,2.43,2.46,4,7,17,14.29
AL,Blount,2019,27,1.52,2.85,2.85,6,11,10,22.22
AL,Blount,2020,7,1.14,7.43,7.29,0,1,6,0.0
AL,Blount,2021,8,0.62,4.0,4.12,0,0,8,0.0
AL,Blount,2022,1,1.0,3.0,4.0,0,0,1,0.0
AL,Bullock,2017,1,1.0,9.17,9.05,0,0,1,0.0
AL,Bullock,2018,21,1.62,6.45,6.47,11,6,4,52.38
AL,Bullock,2019,6,1.33,11.73,11.73,2,1,3,33.33
AL,Bullock,2020,6,1.17,6.5,6.67,2,2,2,33.33
AL,Bullock,2021,4,1.0,4.25,4.0,0,1,3,0.0
AL,Bullock,2022,1,1.0,7.0,7.0,0,0,1,0.0
AL,Butler,2017,9,1.22,2.5,2.63,0,4,5,0.0
AL,Butler,2018,84,1.48,2.92,3.0,9,25,50,10.71
AL,Butler,2019,75,1.55,1.94,1.95,44,6,25,58.67
AL,Butler,2020,14,1.29,5.79,5.79,1,4,9,7.14
AL,Butler,2021,29,1.34,4.17,4.21,3,11,15,10.34
AL,Butler,2022,13,1.92,3.46,3.46,4,7,2,30.77
AL,Calhoun,2017,23,1.61,3.67,3.73,6,6,11,26.09
AL,Calhoun,2018,67,1.72,7.66,7.7,20,28,19,29.85
AL,Calhoun,2019,29,1.1,6.15,6.22,14,7,8,48.28
AL,Calhoun,2020,11,1.18,7.36,7.45,5,1,5,45.45
AL,Calhoun,2021,30,1.37,5.07,5.3,2,12,16,6.67
AL,Calhoun,2022,4,1.25,4.75,4.75,0,1,3,0.0
AL,Chambers,2016,2,1.5,0.46,0.51,1,1,0,50.0
AL,Chambers,2017,20,1.6,4.73,4.75,8,3,9,40.0
AL,Chambers,2018,18,1.22,2.84,2.89,1,4,13,5.56
AL,Chambers,2019,6,1.17,8.68,8.68,2,3,1,33.33
AL,Chambers,2020,15,1.6,6.8,6.8,3,5,7,20.0
AL,Chambers,2021,3,1.33,4.0,4.0,0,1,2,0.0
AL,Chambers,2022,3,2.0,9.67,9.67,0,2,1,0.0
AL,Cherokee,2017,11,1.73,5.2,5.25,3,5,3,27.27
AL,Cherokee,2018,12,1.67,7.24,7.43,3,4,5,25.0
AL,Cherokee,2019,8,1.75,8.03,8.05,2,4,2,25.0
AL,Cherokee,2020,4,1.25,13.75,14.25,1,2,1,25.0
AL,Cherokee,2021,3,1.67,6.67,6.67,1,0,2,33.33
AL,Cherokee,2022,4,1.25,5.75,5.75,0,1,3,0.0
AL,Chilton,2017,40,1.7,3.39,3.52,2,9,29,5.0
AL,Chilton,2018,99,1.55,3.82,3.99,5,23,71,5.05
AL,Chilton,2019,102,1.32,3.3,3.39,28,14,60,27.45
AL,Chilton,2020,26,1.42,7.46,7.5,2,9,15,7.69
AL,Chilton,2021,79,1.35,3.8,3.86,0,23,56,0.0
AL,Chilton,2022,38,1.61,6.45,6.45,2,14,22,5.26
AL,Choctaw,2017,4,1.25,2.35,2.35,0,0,4,0.0
AL,Choctaw,2018,10,1.1,2.64,2.65,1,4,5,10.0
AL,Choctaw,2019,6,0.83,8.22,8.56,0,3,3,0.0
AL,Choctaw,2020,6,0.83,4.5,4.67,0,0,6,0.0
AL,Choctaw,2021,2,1.0,4.5,4.5,0,1,1,0.0
AL,Choctaw,2022,3,0.67,6.0,5.67,0,2,1,0.0
AL,Clarke,2017,22,1.55,4.71,4.72,1,8,13,4.55
AL,Clarke,2018,37,1.49,3.71,3.74,3,10,24,8.11
AL,Clarke,2019,17,1.12,4.91,4.99,4,5,8,23.53
AL,Clarke,2020,11,1.36,5.36,5.64,2,2,7,18.18
AL,Clarke,2021,8,1.38,4.38,4.38,1,2,5,12.5
AL,Clarke,2022,3,1.67,10.0,10.0,0,1,2,0.0
AL,Clay,2017,1,2.0,0.0,0.03,1,0,0,100.0
AL,Clay,2018,4,1.25,4.46,4.48,0,0,4,0.0
AL,Clay,2019,2,1.0,4.5,5.0,0,0,2,0.0
AL,Clay,2020,3,0.67,3.67,4.0,1,1,1,33.33
AL,Clay,2021,2,0.5,4.0,4.0,0,0,2,0.0
AL,Cleburne,2017,10,1.5,5.11,5.12,0,6,4,0.0
AL,Cleburne,2018,20,1.4,2.72,2.72,3,0,17,15.0
AL,Cleburne,2019,28,1.57,3.45,3.45,8,5,15,28.57
AL,Cleburne,2020,18,1.39,8.83,8.83,0,11,7,0.0
AL,Cleburne,2021,5,1.6,5.8,6.2,0,3,2,0.0
AL,Cleburne,2022,2,2.0,7.5,7.5,0,1,1,0.0
AL,Coffee,2017,6,1.67,7.39,7.48,5,1,0,83.33
AL,Coffee,2018,21,1.62,5.48,5.55,15,4,2,71.43
AL,Coffee,2019,27,1.11,5.45,5.57,11,9,7,40.74
AL,Coffee,2020,9,0.89,4.67,4.78,1,4,4,11.11
AL,Coffee,2021,9,1.0,4.67,5.11,2,3,4,22.22
AL,Coffee,2022,2,1.0,8.0,8.0,1,1,0,50.0
AL,Colbert,2017,17,1.47,3.83,3.88,5,7,5,29.41
AL,Colbert,2018,46,1.3,3.62,3.68,13,21,12,28.26
AL,Colbert,2019,30,1.07,4.27,4.37,8,3,19,26.67
AL,Colbert,2020,14,0.93,5.86,5.86,0,5,9,0.0
AL,Colbert,2021,21,1.1,2.1,2.24,1,17,3,4.76
AL,Colbert,2022,22,0.77,5.18,5.32,0,6,16,0.0
AL,Conecuh,2017,5,1.8,3.47,3.47,1,2,2,20.0
AL,Conecuh,2018,51,1.76,3.87,3.88,7,14,30,13.73
AL,Conecuh,2019,95,1.64,2.88,2.89,31,12,52,32.63
AL,Conecuh,2020,8,1.25,7.12,7.12,4,2,2,50.0
AL,Conecuh,2021,13,1.46,5.54,5.69,2,3,8,15.38
AL,Conecuh,2022,9,1.0,3.89,4.0,1,3,5,11.11
AL,Coosa,2017,10,1.2,3.48,3.49,1,0,9,10.0
AL,Coosa,2018,6,1.17,3.09,3.09,1,0,5,16.67
AL,Coosa,2019,15,1.27,4.71,4.71,2,4,9,13.33
AL,Coosa,2020,4,0.75,5.0,5.25,1,0,3,25.0
AL,Coosa,2021,2,0.5,5.0,5.5,2,0,0,100.0
AL,Coosa,2022,1,0.0,4.0,4.0,0,0,1,0.0
AL,Covington,2017,15,1.67,4.49,4.55,5,4,6,33.33
AL,Covington,2018,30,1.6,6.12,6.18,4,11,15,13.33
AL,Covington,2019,20,0.95,6.16,6.31,4,7,9,20.0
AL,Covington,2020,16,0.56,3.38,3.56,4,5,7,25.0
AL,Covington,2021,2,1.0,8.0,8.5,2,0,0,100.0
AL,Covington,2022,3,0.33,2.0,2.67,0,1,2,0.0
AL,Crenshaw,2017,7,1.57,6.58,6.61,2,2,3,28.57
AL,Crenshaw,2018,38,1.34,5.34,5.38,5,16,17,13.16
