"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2026,85,68,17,0,0,0,0,74,55,39,0,0,17,68,0
"Alabama","Clay",2026,87,56,31,0,0,0,0,81,65,40,0,0,0,87,0
"Alabama","DeKalb",2026,90,61,29,0,0,0,0,74,65,43,0,0,47,43,0
"Alabama","Etowah",2026,90,54,36,0,0,0,0,99,68,47,0,0,11,79,0
"Alabama","Jefferson",2026,91,40,51,0,0,0,0,90,69,52,1,4,15,71,0
"Alabama","Mobile",2026,90,57,33,0,0,0,0,71,57,43,0,0,14,76,0
"Alabama","Montgomery",2026,86,45,41,0,0,0,0,94,65,48,0,0,7,79,0
"Alabama","Morgan",2026,90,52,37,1,0,0,0,141,66,43,0,0,15,75,0
"Alabama","Russell",2026,51,34,17,0,0,0,0,97,65,45,0,0,22,29,0
"Alabama","Shelby",2026,31,29,2,0,0,0,0,54,45,38,0,0,31,0,0
"Alabama","Sumter",2026,90,57,33,0,0,0,0,68,58,43,0,1,13,76,0
"Alabama","Tuscaloosa",2026,90,55,33,1,1,0,0,154,65,43,0,0,12,78,0
"Alaska","Anchorage ",2026,80,76,4,0,0,0,0,71,31,6,0,0,0,0,80
"Alaska","Denali ",2026,120,118,2,0,0,0,0,58,45,41,0,0,120,0,0
"Alaska","Fairbanks North Star ",2026,90,33,57,0,0,0,0,99,75,54,0,0,0,90,0
"Alaska","Juneau ",2026,90,76,14,0,0,0,0,80,52,23,0,0,0,90,0
"Arizona","Apache",2026,36,36,0,0,0,0,0,19,14,8,0,0,0,6,30
"Arizona","Cochise",2026,118,108,9,1,0,0,0,116,50,43,0,0,111,0,7
"Arizona","Coconino",2026,120,99,21,0,0,0,0,87,58,45,0,0,120,0,0
"Arizona","Gila",2026,90,71,18,0,1,0,0,153,62,43,0,0,82,0,8
"Arizona","La Paz",2026,90,85,5,0,0,0,0,86,49,41,0,0,83,4,3
"Arizona","Maricopa",2026,151,22,123,6,0,0,0,118,90,71,0,0,77,36,38
"Arizona","Mohave",2026,86,86,0,0,0,0,0,40,22,10,0,0,0,0,86
"Arizona","Navajo",2026,59,58,1,0,0,0,0,53,19,12,0,0,0,0,59
"Arizona","Pima",2026,91,66,24,1,0,0,0,142,60,45,1,0,50,25,15
"Arizona","Pinal",2026,90,26,58,3,2,1,0,274,95,58,0,0,18,23,49
"Arizona","Santa Cruz",2026,90,26,64,0,0,0,0,94,73,54,0,0,0,77,13
"Arizona","Yavapai",2026,90,81,9,0,0,0,0,61,51,43,0,0,90,0,0
"Arizona","Yuma",2026,150,81,65,4,0,0,0,133,84,50,0,0,114,13,23
"Arkansas","Arkansas",2026,28,21,7,0,0,0,0,60,56,38,0,0,0,28,0
"Arkansas","Ashley",2026,28,20,8,0,0,0,0,70,56,41,0,0,0,28,0
"Arkansas","Clark",2026,89,86,3,0,0,0,0,58,47,36,0,0,89,0,0
"Arkansas","Crittenden",2026,90,79,11,0,0,0,0,80,52,36,0,12,60,18,0
"Arkansas","Garland",2026,28,20,8,0,0,0,0,81,63,41,0,0,0,28,0
"Arkansas","Jackson",2026,27,17,10,0,0,0,0,61,58,43,0,0,0,27,0
"Arkansas","Newton",2026,83,68,14,1,0,0,0,115,64,40,0,0,83,0,0
"Arkansas","Polk",2026,29,16,13,0,0,0,0,76,62,47,0,0,0,29,0
"Arkansas","Pulaski",2026,91,38,53,0,0,0,0,79,66,52,1,0,24,66,0
"Arkansas","Union",2026,28,21,7,0,0,0,0,66,54,38,0,0,0,28,0
"Arkansas","Washington",2026,90,76,13,1,0,0,0,118,61,39,0,0,77,13,0
"California","Amador",2026,28,28,0,0,0,0,0,37,35,24,0,0,28,0,0
"California","Butte",2026,45,21,24,0,0,0,0,84,78,53,0,0,6,39,0
