state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Alabama,AL,Autauga,2020,FALSE,12,5081359.693,25.653,1212.783,11796858.28,91917196.295,0.43074,0.000002,0.000103,3.97,96.03,0,0,0,0,0.0212,4189.8342,,,
Alabama,AL,Autauga,2021,FALSE,12,4747484.459,24.025,1101.44,11135696.6,85781588.892,0.42633,0.000002,0.000099,3.86,96.14,0,0,0,0,0.0218,4310.2525,-6.57,-6.35,-9.18
Alabama,AL,Autauga,2022,FALSE,10,6178457.586,31.181,456.075,14680379.8,103963832.582,0.42086,0.000002,0.000031,0,100,0,0,0,0,0.0684,13547.021,30.14,29.79,-58.59
Alabama,AL,Autauga,2023,FALSE,10,5954553.435,30.07,461.496,14277779.9,100196454.475,0.41705,0.000002,0.000032,0,100,0,0,0,0,0.0652,12902.7195,-3.62,-3.56,1.19
Alabama,AL,Autauga,2024,FALSE,9,4427969.195,22.342,383.686,10480380.2,74509068.93,0.4225,0.000002,0.000037,0,100,0,0,0,0,0.0582,11540.6066,-25.64,-25.7,-16.86
Alabama,AL,Autauga,2025,FALSE,10,4833388.761,24.367,390.34,11590655.96,81330357.141,0.41701,0.000002,0.000034,0,100,0,0,0,0,0.0624,12382.5095,9.16,9.06,1.73
Alabama,AL,Autauga,2026,TRUE,10,2265640.85,11.415,168.386,5396452.75,38123851.45,0.41984,0.000002,0.000031,0,100,0,0,0,0,0.0678,13455.0429,-53.13,-53.15,-56.86
Alabama,AL,Calhoun,2020,FALSE,4,25547.344,0.129,7.864,39084.61,422671.26,0.65364,0.000003,0.000201,0,100,0,0,0,0,0.0164,3248.645,,,
Alabama,AL,Calhoun,2021,FALSE,4,36363.292,0.179,14.645,50284.95,559678.236,0.72314,0.000004,0.000291,0,100,0,0,0,0,0.0122,2482.9834,42.34,38.76,86.23
Alabama,AL,Calhoun,2022,FALSE,4,320609.837,1.607,97.537,497637.28,5323776.326,0.64426,0.000003,0.000196,0,100,0,0,0,0,0.0165,3287.0586,781.69,797.77,566.01
